codigo_municipio,nome_municipio_ibge,uf,nome_uf,regiao,nome_regiao,latitude,longitude
110001,Alta Floresta D'Oeste,RO,Rondônia,Norte,Norte,-11.9283,-61.9953
110002,Ariquemes,RO,Rondônia,Norte,Norte,-9.90571,-63.0325
110003,Cabixi,RO,Rondônia,Norte,Norte,-13.4945,-60.552
110004,Cacoal,RO,Rondônia,Norte,Norte,-11.4343,-61.4562
110005,Cerejeiras,RO,Rondônia,Norte,Norte,-13.187,-60.8168
110006,Colorado do Oeste,RO,Rondônia,Norte,Norte,-13.1174,-60.5454
110007,Corumbiara,RO,Rondônia,Norte,Norte,-12.9551,-60.8947
110008,Costa Marques,RO,Rondônia,Norte,Norte,-12.4367,-64.228
110009,Espigão D'Oeste,RO,Rondônia,Norte,Norte,-11.5266,-61.0252
110010,Guajará-Mirim,RO,Rondônia,Norte,Norte,-10.7889,-65.3296
110011,Jaru,RO,Rondônia,Norte,Norte,-10.4318,-62.4788
110012,Ji-Paraná,RO,Rondônia,Norte,Norte,-10.8777,-61.9322
110013,Machadinho D'Oeste,RO,Rondônia,Norte,Norte,-9.44363,-61.9818
110014,Nova Brasilândia D'Oeste,RO,Rondônia,Norte,Norte,-11.7247,-62.3127
110015,Ouro Preto do Oeste,RO,Rondônia,Norte,Norte,-10.7167,-62.2565
110018,Pimenta Bueno,RO,Rondônia,Norte,Norte,-11.672,-61.198
110020,Porto Velho,RO,Rondônia,Norte,Norte,-8.76077,-63.8999
110025,Presidente Médici,RO,Rondônia,Norte,Norte,-11.169,-61.8986
110026,Rio Crespo,RO,Rondônia,Norte,Norte,-9.69965,-62.9011
110028,Rolim de Moura,RO,Rondônia,Norte,Norte,-11.7271,-61.7714
110029,Santa Luzia D'Oeste,RO,Rondônia,Norte,Norte,-11.9074,-61.7777
110030,Vilhena,RO,Rondônia,Norte,Norte,-12.7502,-60.1488
110032,São Miguel do Guaporé,RO,Rondônia,Norte,Norte,-11.6953,-62.7192
110033,Nova Mamoré,RO,Rondônia,Norte,Norte,-10.4077,-65.3346
110034,Alvorada D'Oeste,RO,Rondônia,Norte,Norte,-11.3463,-62.2847
110037,Alto Alegre dos Parecis,RO,Rondônia,Norte,Norte,-12.132,-61.835
110040,Alto Paraíso,RO,Rondônia,Norte,Norte,-9.71429,-63.3188
110045,Buritis,RO,Rondônia,Norte,Norte,-10.1943,-63.8324
110050,Novo Horizonte do Oeste,RO,Rondônia,Norte,Norte,-11.6961,-61.9951
110060,Cacaulândia,RO,Rondônia,Norte,Norte,-10.349,-62.9043
110070,Campo Novo de Rondônia,RO,Rondônia,Norte,Norte,-10.5712,-63.6266
110080,Candeias do Jamari,RO,Rondônia,Norte,Norte,-8.7907,-63.7005
110090,Castanheiras,RO,Rondônia,Norte,Norte,-11.4253,-61.9482
110092,Chupinguaia,RO,Rondônia,Norte,Norte,-12.5611,-60.8877
110094,Cujubim,RO,Rondônia,Norte,Norte,-9.36065,-62.5846
110100,Governador Jorge Teixeira,RO,Rondônia,Norte,Norte,-10.61,-62.7371
110110,Itapuã do Oeste,RO,Rondônia,Norte,Norte,-9.19687,-63.1809
110120,Ministro Andreazza,RO,Rondônia,Norte,Norte,-11.196,-61.5174
110130,Mirante da Serra,RO,Rondônia,Norte,Norte,-11.029,-62.6696
110140,Monte Negro,RO,Rondônia,Norte,Norte,-10.2458,-63.29
110143,Nova União,RO,Rondônia,Norte,Norte,-10.9068,-62.5564
110145,Parecis,RO,Rondônia,Norte,Norte,-12.1754,-61.6032
110146,Pimenteiras do Oeste,RO,Rondônia,Norte,Norte,-13.4823,-61.0471
110147,Primavera de Rondônia,RO,Rondônia,Norte,Norte,-11.8295,-61.3153
110148,São Felipe D'Oeste,RO,Rondônia,Norte,Norte,-11.9023,-61.5026
110149,São Francisco do Guaporé,RO,Rondônia,Norte,Norte,-12.052,-63.568
110150,Seringueiras,RO,Rondônia,Norte,Norte,-11.8055,-63.0182
110155,Teixeirópolis,RO,Rondônia,Norte,Norte,-10.9056,-62.242
110160,Theobroma,RO,Rondônia,Norte,Norte,-10.2483,-62.3538
110170,Urupá,RO,Rondônia,Norte,Norte,-11.1261,-62.3639
110175,Vale do Anari,RO,Rondônia,Norte,Norte,-9.86215,-62.1876
110180,Vale do Paraíso,RO,Rondônia,Norte,Norte,-10.4465,-62.1352
120001,Acrelândia,AC,Acre,Norte,Norte,-9.82581,-66.8972
120005,Assis Brasil,AC,Acre,Norte,Norte,-10.9298,-69.5738
120010,Brasiléia,AC,Acre,Norte,Norte,-10.995,-68.7497
120013,Bujari,AC,Acre,Norte,Norte,-9.81528,-67.955
120017,Capixaba,AC,Acre,Norte,Norte,-10.566,-67.686
120020,Cruzeiro do Sul,AC,Acre,Norte,Norte,-7.62762,-72.6756
120025,Epitaciolândia,AC,Acre,Norte,Norte,-11.0188,-68.7341
120030,Feijó,AC,Acre,Norte,Norte,-8.17054,-70.351
120032,Jordão,AC,Acre,Norte,Norte,-9.1908,-71.9503
120033,Mâncio Lima,AC,Acre,Norte,Norte,-7.61657,-72.8997
120034,Manoel Urbano,AC,Acre,Norte,Norte,-8.83291,-69.2679
120035,Marechal Thaumaturgo,AC,Acre,Norte,Norte,-8.93898,-72.7997
120038,Plácido de Castro,AC,Acre,Norte,Norte,-10.2806,-67.1371
120039,Porto Walter,AC,Acre,Norte,Norte,-8.26323,-72.7537
120040,Rio Branco,AC,Acre,Norte,Norte,-9.97499,-67.8243
120042,Rodrigues Alves,AC,Acre,Norte,Norte,-7.73864,-72.661
120043,Santa Rosa do Purus,AC,Acre,Norte,Norte,-9.44652,-70.4902
120045,Senador Guiomard,AC,Acre,Norte,Norte,-10.1497,-67.7362
120050,Sena Madureira,AC,Acre,Norte,Norte,-9.06596,-68.6571
120060,Tarauacá,AC,Acre,Norte,Norte,-8.15697,-70.7722
120070,Xapuri,AC,Acre,Norte,Norte,-10.6516,-68.4969
120080,Porto Acre,AC,Acre,Norte,Norte,-9.58138,-67.5478
130002,Alvarães,AM,Amazonas,Norte,Norte,-3.22727,-64.8007
130006,Amaturá,AM,Amazonas,Norte,Norte,-3.37455,-68.2005
