[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 0, 'limit': 1000}
[extract] year=2024 page=0 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 1, 'limit': 1000}
[extract] year=2024 page=1 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 2, 'limit': 1000}
[extract] year=2024 page=2 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 3, 'limit': 1000}
[extract] year=2024 page=3 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 4, 'limit': 1000}
[extract] year=2024 page=4 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 5, 'limit': 1000}
[extract] year=2024 page=5 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 6, 'limit': 1000}
[extract] year=2024 page=6 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 7, 'limit': 1000}
[extract] year=2024 page=7 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 8, 'limit': 1000}
[extract] year=2024 page=8 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 9, 'limit': 1000}
[extract] year=2024 page=9 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 10, 'limit': 1000}
[extract] year=2024 page=10 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 11, 'limit': 1000}
[extract] year=2024 page=11 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 12, 'limit': 1000}
[extract] year=2024 page=12 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 13, 'limit': 1000}
[extract] year=2024 page=13 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 14, 'limit': 1000}
[extract] year=2024 page=14 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 15, 'limit': 1000}
[extract] year=2024 page=15 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 16, 'limit': 1000}
[extract] year=2024 page=16 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 17, 'limit': 1000}
[extract] year=2024 page=17 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 18, 'limit': 1000}
[extract] year=2024 page=18 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 19, 'limit': 1000}
[extract] year=2024 page=19 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 20, 'limit': 1000}
[extract] year=2024 page=20 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 21, 'limit': 1000}
[extract] year=2024 page=21 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 22, 'limit': 1000}
[extract] year=2024 page=22 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 23, 'limit': 1000}
[extract] year=2024 page=23 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 24, 'limit': 1000}
[extract] year=2024 page=24 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 25, 'limit': 1000}
[extract] year=2024 page=25 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 26, 'limit': 1000}
[extract] year=2024 page=26 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 27, 'limit': 1000}
[extract] year=2024 page=27 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 28, 'limit': 1000}
[extract] year=2024 page=28 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 29, 'limit': 1000}
[extract] year=2024 page=29 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 30, 'limit': 1000}
[extract] year=2024 page=30 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 31, 'limit': 1000}
[extract] year=2024 page=31 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 32, 'limit': 1000}
[extract] year=2024 page=32 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 33, 'limit': 1000}
[extract] year=2024 page=33 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 34, 'limit': 1000}
[extract] year=2024 page=34 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 35, 'limit': 1000}
[extract] year=2024 page=35 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 36, 'limit': 1000}
[extract] year=2024 page=36 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 37, 'limit': 1000}
[extract] year=2024 page=37 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 38, 'limit': 1000}
[extract] year=2024 page=38 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 39, 'limit': 1000}
[extract] year=2024 page=39 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 40, 'limit': 1000}
[extract] year=2024 page=40 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 41, 'limit': 1000}
[extract] year=2024 page=41 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 42, 'limit': 1000}
[extract] year=2024 page=42 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 43, 'limit': 1000}
[extract] year=2024 page=43 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 44, 'limit': 1000}
[extract] year=2024 page=44 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 45, 'limit': 1000}
[extract] year=2024 page=45 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 46, 'limit': 1000}
[extract] year=2024 page=46 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 47, 'limit': 1000}
[extract] year=2024 page=47 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 48, 'limit': 1000}
[extract] year=2024 page=48 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 49, 'limit': 1000}
[extract] year=2024 page=49 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 50, 'limit': 1000}
[extract] year=2024 page=50 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 51, 'limit': 1000}
[extract] year=2024 page=51 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 52, 'limit': 1000}
[extract] year=2024 page=52 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 53, 'limit': 1000}
[extract] year=2024 page=53 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 54, 'limit': 1000}
[extract] year=2024 page=54 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 55, 'limit': 1000}
[extract] year=2024 page=55 records=1,000
